AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	MISSION CISD (108-908)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	MONTE ALTO ISD (108-915)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	PHARR-SAN JUAN-ALAMO ISD (108-909)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	PROGRESO ISD (108-910)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	SHARYLAND ISD (108-911)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	THE POSSABLE DREAM (108-811)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY (108-804)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	VALLEY VIEW ISD (108-916)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	VANGUARD ACADEMY (108-808)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	HIDALGO COUNTY (108)	WESLACO ISD (108-913)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	JIM HOGG COUNTY (124)	JIM HOGG COUNTY ISD (124-901)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	STARR COUNTY (214)	RIO GRANDE CITY GRULLA ISD (214-901)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	STARR COUNTY (214)	ROMA ISD (214-903)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	STARR COUNTY (214)	SAN ISIDRO ISD (214-902)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WEBB COUNTY (240)	LAREDO ISD (240-901)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WEBB COUNTY (240)	TEXAS A&M INTERNATIONAL UNIVERSITY ISD (240-503)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WEBB COUNTY (240)	TRIUMPH PUBLIC HIGH SCHOOLS CENTRAL TEXAS (240-801)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WEBB COUNTY (240)	UNITED ISD (240-903)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WEBB COUNTY (240)	WEBB CISD (240-904)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WILLACY COUNTY (245)	LASARA ISD (245-901)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WILLACY COUNTY (245)	LYFORD CISD (245-902)	Printed Date:  6/26/2026	Page -1 of 1
AskTED	Districts Served by Regional Education Service Centers	Districts Served by Regional Education Service Centers	REG 1 EDUCATION SERVICE CENTER (108-950)	WILLACY COUNTY (245)	RAYMONDVILLE ISD (245-903)	Printed Date:  6/26/2026	Page -1 of 1
